# mu_0 sigma_0 logL logPrior
-4.867704408438415342e+00 2.100000809698307491e-01 -2.728883308058153125e+04 -1.910969906186981593e+00
4.226834827069638756e+00 2.015101095802397935e-01 -2.338779373725803816e+04 -1.869701541641242359e+00
4.681004393891782911e+00 2.252135349057450275e-01 -2.274648664354167340e+04 -1.980910986071364288e+00
4.528332513658960501e+00 2.186540201102666892e-01 -2.264861886010303715e+04 -1.951352653640858748e+00
4.536868060966711802e+00 2.245473589519302315e-01 -2.155234928970665351e+04 -1.977948627849094532e+00
4.415382409333722613e+00 2.209403079607166198e-01 -2.113781567746407018e+04 -1.961754555207952944e+00
4.975777619184003520e+00 2.499898325270175081e-01 -2.075775312471218058e+04 -2.085282237042238584e+00
4.176531038052942790e+00 2.205267392111248670e-01 -1.908697594105031021e+04 -1.959880943697311251e+00
-4.813065938124486465e+00 2.582920768062765271e-01 -1.764446679318235692e+04 -2.117953015144989237e+00
-4.685032545677096927e+00 2.640430032310898678e-01 -1.602003101518208132e+04 -2.139973970806833492e+00
-3.486722076275492910e+00 2.008796129634460303e-01 -1.567051164545338725e+04 -1.866567778041171577e+00
4.811452435608118527e+00 2.817625145677626897e-01 -1.532080049252511708e+04 -2.204926559109318340e+00
4.262461334404878066e+00 2.536436097652268185e-01 -1.499681908878149807e+04 -2.099792160474764469e+00
-3.503677577036505841e+00 2.071344045975940240e-01 -1.487388014065205425e+04 -1.897229870034783605e+00
-4.436942862195493831e+00 2.622720176374233603e-01 -1.460692414328784253e+04 -2.133244190323936529e+00
-4.349503006941402461e+00 2.604632204572158161e-01 -1.424949000560459535e+04 -2.126323652860338420e+00
-4.668812453540061469e+00 2.792769950096061216e-01 -1.422480589260029592e+04 -2.196066092861312047e+00
-4.238797298053711415e+00 2.559105317468131080e-01 -1.404187019009699361e+04 -2.108689887930273343e+00
-3.823679123889260900e+00 2.355290056987756619e-01 -1.359129375265185263e+04 -2.025696062220226246e+00
